S.NO,Localities,Addresses,PointofContact,ChargingSlots
3319,West Bay Beach Resort,"615 E Front StTraverse City, Michigan 49686","Phone 231-714-9810

                                                   ","Charging
3 Tesla Connectors"
3320,"West Hill House B&B, a Select Registry Property","1496 W Hill RdWarren, VT 05674","Phone (802) 496-7162

                                                   ","Charging
2 Tesla Connectors"
3321,West Sonoma Inn,"14100 Brookside LnGuerneville, CA 95446","Phone (707) 869-2874

                                                   ","Charging
2 Tesla Connectors"
3322,West Wing Boutique Hotel,"2501 E Fowler AveTampa, Florida 33612","Phone (813) 559-8000

                                                   ","Charging
2 Tesla Connectors"
3323,Western Carolina University - Lot 30,"320 Memorial DrCullowhee, North Carolina 28723","Phone (828) 227-7411

                                                   ","Charging
1 Tesla Connector"
3324,Western Nevada Supply Co.,"950 S Rock BlvdSparks, Nevada 89431","Phone (775) 353-0275

                                                   ","Charging
1 Tesla Connector"
3325,Western Village Casino,"815 Nichols BlvdSparks, Nevada 89434","Phone (800) 648-1170

                                                   ","Charging
1 Tesla Connector"
3326,Westgate Cocoa Beach Pier,"401 Meade AveCocoa Beach, Florida 32931","Phone (321) 783-7549

                                                   ","Charging
2 Tesla Connectors"
3327,Westgate Park City Resort and Spa,"3000 Canyons Resort RdPark City, Utah 84098","Phone (435) 940-9444

                                                   ","Charging
2 Tesla Connectors"
3328,Westin Atlanta Perimeter Center,"7 Concourse Parkway NortheastAtlanta, GA 30328","Phone (770) 395-3900

                                                   ","Charging
1 Tesla Connector"
3329,Westin Austin Downtown,"310 E 5th StAustin, Texas 78701","Phone (512) 391-2333

                                                   ","Charging
3 Tesla Connectors"
3330,Westin Monache Resort,"50 Hillside DrMammoth Lakes, CA 93546","Phone (760) 934-0400

                                                   ","Charging
3 Tesla Connectors"
3331,Westin Savannah Harbor Golf Resort & Spa,"1 Resort DrSavannah, GA 31421","Phone (912) 201-2000

                                                   ","Charging
2 Tesla Connectors"
3332,Westmoreland Family Clinic,"100-B Mallard Sunrise DrWestmoreland, Tennessee 37186","Phone (615) 644-3000

                                                   ","Charging
1 Tesla Connector"
3333,"Whale Cove Inn, a Select Registry Property","2345 U.S. 101Depoe Bay, OR 97341","Phone (541) 765-4300

                                                   ","Charging
1 Tesla Connector"
3334,Wheeler Farms Winery,"588 Zinfandel LnSt. Helena, California 94574","Phone (707) 200-8500

                                                   ","Charging
2 Tesla Connectors"
3335,Whisper Valley Amenity and Discovery Center,"9400 Petrichor BlvdWhisper Valley, Texas 78653","Phone (512) 615-8819

                                                   ","Charging
2 Tesla Connectors"
3336,Whispering Oaks Winery and Steakhouse,"10934 N County Rd 475Oxford, Florida 34484","Phone (352) 748-0449

                                                   ","Charging
8 Tesla Connectors"
3337,"Whispering Pines Bed & Breakfast, a Select Registry Property","1268 Magnolia Road SouthwestDellroy, OH 44620","Phone (330) 735-2824

                                                   ","Charging
1 Tesla Connector"
3338,Whistle Hill,"43540 Kleeb LoopSoldotna, AK 99669","Phone (907) 398-2931

                                                   ","Charging
2 Tesla Connectors"
3339,Whitaker Street Parking Garage,"7 Whitaker StSavannah, Georgia 31401","Phone (912) 525-2820

                                                   ","Charging
2 Tesla Connectors"
3340,White Eagle Resort,"3026 White Eagle DrCook, Minnesota 55723","Phone (218) 666-5500

                                                   ","Charging
3 Tesla Connectors"
3341,White Fences Inn Water Mill,"371 Montauk HwyWater Mill, NY 11976","Phone (631) 500-9013

                                                   ","Charging
1 Tesla Connector"
3342,White Hart Inn,"15 Undermountain RdSalisbury, Connecticut 06068","Phone (860) 435-0030

                                                   ","Charging
1 Tesla Connector"
3343,White Rhino Coffee,"414 W Main StWaxahachie, Texas 75165","Phone (972) 293-7361

                                                   ","Charging
2 Tesla Connectors"
3344,Whitefish TLC Bed and Breakfast,"178 E Blanchard Lake RdWhitefish, MT 59937","Phone (406) 250-6576

                                                   ","Charging
1 Tesla Connector"
3345,Whitehall Lane Winery,"1563 St. Helena Hwy SSt. Helena, California 94574","Phone (800) 963-9454

                                                   ","Charging
1 Tesla Connector"
3346,Whitney Peak Hotel,"255 N Virginia StReno, NV 89501","Phone (775) 398-5400

                                                   ","Charging
1 Tesla Connector"
3347,Wilcom's Inn,"11234 Fingerboard RdMonrovia, Maryland 21770","Phone (301) 798-8686

                                                   ","Charging
3 Tesla Connectors"
3348,Wild Kitchen and Bar,"15506 Hwy 71 W Unit CBee Cave, Texas 78738","Phone (512) 263-8099

                                                   ","Charging
2 Tesla Connectors"
3349,Wild Mountain Ski & Snow Board Area,"37200 Wild Mountain RdTaylors Falls, Minnesota 55084","Phone (651) 465-6365

                                                   ","Charging
2 Tesla Connectors"
3350,Wild Rose Casino & Resort,"777 Wild Rose DrJefferson, IA 50129","Phone (515) 386-7777

                                                   ","Charging
1 Tesla Connector"
3351,WildSpring Guest Habitat,"92978 Cemetary Loop RdPort Orford, Oregon 97465","Phone (541) 332-0977

                                                   ","Charging
1 Tesla Connector"
3352,Wildwood Casino,"119 Carbonate StCripple Creek, CO 80813","Phone (719) 244-9700

                                                   ","Charging
1 Tesla Connector"
3353,Wildwood Inn,"2602 Lillian Miller PkwyDenton, TX 76210","Phone (940) 243-4919

                                                   ","Charging
2 Tesla Connectors"
3354,Wildwood Tavern,"6480 W TouhyNiles, Illinois 60714","Phone (847) 677-6663

                                                   ","Charging
1 Tesla Connector"
3355,William Henry Miller Inn,"303 N Aurora StIthaca, New York 14850","Phone (607) 256-4553

                                                   ","Charging
1 Tesla Connector"
3356,Williams Selyem Winery,"7227 Westside RdHealdsburg, CA 95405","Phone (707) 433-6425

                                                   ","Charging
2 Tesla Connectors"
3357,Willows Lodge,"14850 NE 145th StWoodinville, WA 98072","Phone (425) 424-3900

                                                   ","Charging
2 Tesla Connectors"
3358,Wilshire Vermont Parking Garage,"3183 Wilshire BlvdLos Angeles, CA 90010","Phone (213) 384-5800

                                                   ","Charging
2 Tesla Connectors"
3359,Wilshire West Medical Tower,"11645 Wilshire BlvdLos Angeles, CA 90025","Phone (310) 444-2969

                                                   ","Charging
1 Tesla Connector"
3360,Wind River Brewing,"402 W Pine StPinedale, WY 82941","Phone (307) 367-2337

                                                   ","Charging
4 Tesla Connectors"
3361,"Windemere Inn by the Sea, a Select Registry Property","815 S Miramar AveIndialantic, FL 32903","Phone (321) 728-9334

                                                   ","Charging
1 Tesla Connector"
3362,Windham Hill Inn,"311 Lawrence DrTownshend, VT 05359","Phone (802) 874-4080

                                                   ","Charging
1 Tesla Connector"
3363,Windsor Court Hotel,"300 Gravier StNew Orleans, Louisiana 70130","Phone (504) 523-6000

                                                   ","Charging
4 Tesla Connectors"
3364,Windward Winery,"1380 Live Oak RdPaso Robles, CA 93446","Phone (805) 239-2565

                                                   ","Charging
2 Tesla Connectors"
3365,Wine & Rose Hotel,"2505 W Turner RdLodi, California 95242","Phone (209) 334.6988

                                                   ","Charging
2 Tesla Connectors"
3366,Wine Shoppe,"2746 Hooper AveBrick, NJ 08723","Phone (732) 255-8888

                                                   ","Charging
1 Tesla Connector"
3367,Wing Aviation Hangar,"8410 Larson StHouston, TX 77061","Phone (866) 944-9464

                                                   ","Charging
1 Tesla Connector"
3368,Wingate By Wyndham Charlotte Airport I-85/I-485,"4238 Business Center DrCharlotte, North Carolina 28214","Phone (704) 395-3600

                                                   ","Charging
2 Tesla Connectors"
3369,Wingate by Wyndham Cincinnati-Blue Ash,"4320 Glendale Milford RdBlue Ash, Ohio 45242","Phone (513) 733-1142

                                                   ","Charging
2 Tesla Connectors"
3370,Wingate by Wyndham Little Rock,"1212 S Shackleford RdLittle Rock, Arkansas 72211","Phone (501) 712-3618

                                                   ","Charging
6 Tesla Connectors"
3371,Wingate by Wyndham Louisville East,"12301 Alliant CtLouisville, Kentucky 40299","Phone (502) 261-0644

                                                   ","Charging
2 Tesla Connectors"
3372,Wingate by Wyndham North Little Rock,"4801 W Commercial DrNorth Little Rock, Arkansas 72116","Phone (501) 725-0491

                                                   ","Charging
3 Tesla Connectors"
3373,Wingate by Wyndham Richmond Short Pump,"13991 N Gayton RdRichmond, Virginia 23233","Phone (804) 421-1600

                                                   ","Charging
2 Tesla Connectors"
3374,Wingate by Wyndham Tinley Park,"18421 N Creek DrTinley Park, Illinois 60477","Phone (708) 532-9300

                                                   ","Charging
2 Tesla Connectors"
3375,Winnemucca Inn & Casino,"741 W Winnemucca BlvdWinnemucca, NV 89445","Phone (800) 633-6435

                                                   ","Charging
2 Tesla Connectors"
3376,Winvian Farm,"155 Alain White RdMorris, CT 06763","Phone (860) 567-9600

                                                   ","Charging
2 Tesla Connectors"
